,Formation,ID,Group,Name,Lithology,Period
0,Kapp Toscana Group,kapp toscana group,,Kapp Toscana Group,"The Kapp Toscana Group comprises shales, siltstones and sandstones of Late Triassic to Middle Jurassic (Bathonian) age in Svalbard and on the Barents Sea Shelf. The group starts with the grey shales of the Tschermakfjellet Formation which normally grade upward into the immature sandstones of the De Geerdalen Formation (Storfjorden Subgroup). This interval contains a number of coarsening-upward successions with increasing proportions of sandstone towards the SW, NE and E, while shales dominate in the central areas of Svalbard. On Svalbard, the upper part forms a condensed clastic sedimentary succession, only a few metres thick in southern and western Svalbard, which gradually is more completely developed towards the east (Wilhelmøya Subgroup). Equivalents on the Barents Sea Shelf show a comparatively thick development (Realgrunnen Subgroup; Worsley et al. 1988). Sandstones and shales also dominate the group in the Barents Sea. ",Ladinian to Bathonian. 
0,Klappmyss Formation,klappmyss formation,sassendalen group,Klappmyss Formation,"Medium to dark grey shales pass upwards into interbedded shales, siltstones and sandstones in the type well. The reference well shows a similar trend, but with more shale throughout. ",Palynofloras suggest a Smithian to Spathian age. 
0,Klippfisk Formation,klippfisk formation,adventdalen group,Klippfisk Formation,"Limestone, marl and calcareous sandstone. ","Late Berriasian to Hauterivian, based on palynology, nanofossils and bivalves. "
0,Knurr Formation,knurr formation,adventdalen group,Knurr Formation,"In the type well the formation consists of dark grey to greyish brown claystone with thin limestone and dolomite interbeds. Thin sandstones are also seen in the unit's lower parts, but these disappear laterally into the Hammerfest Basin. Red to yellow brown claystone generally occurs in the upper parts of the formation. ",Dinoflagellates and foraminifera suggest a Ryazanian/Valanginian to early Barremian age. 
0,Kobbe Formation,kobbe formation,sassendalen group,Kobbe Formation,"A basal 20 m thick shale unit passes up into interbedded shale, siltstone and carbonate cemented sandstone. ","An Anisian age is suggested by palynomorphs, with a probable break in deposition in the early and/or late Anisian. "
0,Kolje Formation,kolje formation,adventdalen group,Kolje Formation,"Dark brown to dark grey shale and claystone dominate, with minor interbeds of pale limestone and dolomite. The upper part of the formation also has thin interbeds of light grey-brown siltstone and sandstone. The reference well displays similar lithologies. ",An early Barremian to late Barremian/early Aptian age is suggested. 
0,Kolmule Formation,kolmule formation,adventdalen group,Kolmule Formation,"Dark grey to green claystone and shale, silty in parts with minor thin siltstone interbeds and limestone and dolomite stringers. Traces of glauconite and pyrite occur. The reference well has the same lithology. ",Aptian to mid-Cenomanian. 
0,Krabbe Member,krabbe member,fruholmen formation,Krabbe Member,Shale. ,Rhaetian (based on palynology). 
0,Krill Member,krill member,hekkingen formation,Krill Member,"The Krill Member is dominated by brownish-grey to very dark grey shale and mudstone with occasional thin interbeds of limestone, dolomite, siltstone and sandstone. ",Kimmeridgian – Volgian. 
0,Krossfjord Formation,krossfjord formation,viking group,Krossfjord Formation,"The formation consists of sandstones, light grey-brown in colour, medium to coarse grained, well sorted, and loose to very friable. Occasionally calcite cemented streaks occur. The lower portion of the Krossfjord Formation is slightly argillaceous and carbonaceous with minor shale intercalations. ",Bathonian. 
0,Kupferschiefer Formation,kupferschiefer formation,zechstein group,Kupferschiefer Formation,"Thin, grey-black, radioactive, locally calcareous organic-rich shale. In the type well it is a dark brown to black dolomitic shale. In the reference wells it is dark grey to black, carbonaceous and micaceous shale, usually laminated and fissile. ",Late Permian. 
0,Kutling Member,kutling member,klippfisk formation,Kutling Member,The Kutling Member is a condensed carbonate succession consisting of limestones and marls and represents the entire Klippfisk Formation on the Bjarmeland Platform. ,"Late Berriasian – Hauterivian, based on palynology, nanofossils, bivalves. "
0,Kveite Formation,kveite formation,nygrunnen group,Kveite Formation,Greenish-grey to grey shales and claystones show thin interbeds of limestone and siltstone. A tuffaceous and/or glauconitic component is reported from several wells. ,Total span appears to be late Cenomanian to early Maastrichtian. 
0,Kviting Formation,kviting formation,nygrunnen group,Kviting Formation,"The type section shows calcareous sandstones with interbedded sandy and glauconitic mudstones. Limestones in the reference well are interbedded with, and grade up into sandy claystones. ",Campanian. 
0,Kvitnos Formation,kvitnos formation,shetland group,Kvitnos Formation,Grey and greyish green calcareous claystones with carbonate and sandstone stringers. ,Turonian to Santonian. 
0,Kyrre Formation,kyrre formation,shetland group,Kyrre Formation,"The formation consists of mudstones with occasional limestone beds. Some sandstone beds are found in parts of the Agat area. The mudstones are medium grey to grey, silty to calcareous, occasionally pyritic, glauconitic or micaceous. The sandstones are clear to white, and very fine to fine grained. ",Late Turonian to Campanian. 
0,Lange Formation,lange formation,cromer knoll group,Lange Formation,Dominant light/medium grey to green and brown claystones contain stringers of carbonates and sandstones. Claystones in the Barremian-Aptian interval are often reddish-brown and are occasionally interbedded with tuffs. ,Ryazanian to Turonian. 
0,Lista Formation,lista formation,rogaland group,Lista Formation,"The Lista Formation consists of brown to grey-brown shales, which are generally non-tuffaceous and poorly laminated. Occasionally it contains stringers of limestone, dolomite and pyrite. Thin sandstone layers are locally developed. They are less than 5 m thick, and are most common in the lower part of the formation. ",Late Paleocene. 
0,Lomvi Formation,lomvi formation,hegre group,Lomvi Formation,"The Lomvi Formation consists of fine to coarse-grained kaolinitic sandstone with subordinate and thin red marls and claystones. The sandstones, which are light brown, grey or white, are generally more coarse-grained in the reference well than in the type well. ",Triassic; no more precise dating available. 
0,Lunde Formation,lunde formation,hegre group,Lunde Formation,"The formation is an interbedded sequence of very fine to very coarse-grained sandstones (2 to 10 m thick), claystones, marls and shales.^The sandstones are mainly white, pink or grey and cemented to a variable degree with kaolinite, anhydrite and carbonate. Fine-grained sandstones from the upper portion of the formation (core data from UK well 211/13-1) display small scale ripple cross stratification, bioturbation and incorporated mud clasts and mud balls. This part of the formation may also have small fining upward sequences.^The interbedded argillaceous units are dominantly red-brown claystones, siltstones and shales with thin limestones (possibly caliche). Tuff horizons are present in the lower half of the formation in the Statfjord Field area. The lowermost part of the Lunde Formation consists in the Statfjord Field area (and westward into UK waters), of a sequence which is very uniform both in lithology and thickness. It is around 300 thick and consists mainly of brick red to red brown calcareous claystones grading to marls which are normally soft, silty and micaceous. This lower sequence is easily recognisable and may eventually be separated out and assigned formation status. ","Late Triassic, possibly Norian to early Rhaetian age. "
0,Lyr Formation,lyr formation,cromer knoll group,Lyr Formation,The formation consists of light/medium grey to light greyish-green marls with interbedded carbonates. ,Valanginian to Early Aptian. 
0,Lysing Formation,lysing formation,cromer knoll group,Lysing Formation,"Predominantly fine to medium, occasionally coarse grained, white-grey sandstones, partly carbonate-cemented and interbedded with shales. ",Late Cenomanian to Turonian/Coniacian. 
0,Maureen Formation,maureen formation,rogaland group,Maureen Formation,"The Maureen Formation consists of sandstones that are slightly to very calcareous and often contain reworked limestones. The sandstones are interbedded with brown and dark grey shales, and are fine to medium grained, locally very coarse.^The type well established by Deegan & Scull (1977) represents a distal and somewhat atypical section. A more representative well from the Maureen Formation sandstones is UK well 16/29-4 (Fig 5.45). ^The formation pinches out distally and is replaced by the light grey marls and shales of the Våle Formation. ",Early Paleocene. 
0,Meile Member (informal),meile member (informal),heimdal formation,Meile Member (informal),"The Meile Member consists of clean, well-sorted sandstones, which are very fine to fine grained, friable to hard, and clear to white. ",Paleocene. 
0,Melke Formation,melke formation,viking group,Melke Formation,"Dominantly claystone, with siltstone and limestone interbeds and stringers of sandstone. The claystone is dark grey to dark brown and slightly calcareous. ",Bajocian to Oxfordian. 
0,Mime Formation,mime formation,cromer knoll group,Mime Formation,"The formation is dominated by limestones and marls. It often contains impure carbonates that are reworked and mixed with smaller quantities of sand and silt. The formation is sometimes chalky. The matrix is usually very calcareous. Oolites are observed in some wells in the East Shetland Basin. The colour is usually white or light pink, but may vary slightly on account of the sand/silt mixture. ","The formation is time-transgressive, and is dated to Late Valanginian to Albian. It is oldest in the deeper parts along the basin margins and becomes younger up along the flanks. In most of the East Shetland Basin, along the Utsira, Bergen, Sele and Jæren highs, and along the flanks of the Viking Graben, it is usually of Barremian/Hauterivian age (Fig 5.4). "
0,Molo Formation1),molo formation1),,Molo Formation1),"The lithology varies considerably throughout its distribution area. In most wells and boreholes from proximal parts, the unit consists mainly of red to yellow coloured sand. Some sections also contain well rounded, rust-tinted pebbles. In some wells glauconitic sand and mica-rich sand are recorded. In the Draugen Field (Trøndelag Platform), where the distal part has been investigated, the unit contains glauconitic sand, silt and clay. ",Late Miocene – Early Pliocene. 
0,Nansen Formation,nansen formation,statfjord group,Nansen Formation,"In the type well the formation consists of medium- to coarse-grained, fairly well-sorted, homogeneous, white sandstones with a calcite-cement and a subordinate kaolinite matrix. Occasional horizons with granules or pebbles are present. Carbonaceous material and mica are rare but glauconite is quite common. Thin shale beds containing marine fossils are present, most commonly in its upper part.^At the top of the formation, from 3112 m to 3135 m in the type well is a more prominent calcareous horizon defined informally as the calcareous sandstone bed. This may grade locally into a sandy limestone, for example in the Brent Field.^The Nansen Formation thins towards the east and passes laterally into calcareous siltstones and shales in the Norwegian sector (Fig 1.17-18). Although these siltstones and shales are lateral equivalents of the Nansen Formation they are placed in the overlaying Dunlin Group on lithological grounds. ",Probably Hettangian to Early Sinemurian. 
0,Naust Formation,naust formation,nordland group,Naust Formation,"Interbedded claystone, siltstone and sand, occasionally with very coarse clastics in the upper part. ",Late Pliocene. 
0,Ness Formation,ness formation,brent group,Ness Formation,"The formation consists of an association of coals, shales, siltstones and very fine to medium grained sandstones. The formation is carbonaceous throughout and contains numerous rootlet horizons. Small scale cross-bedding and horizontal bedding are common. Synsedimentary deformation is frequently observed. The shales are silty, fissile and frequently pyritic. The formation occasionally shows some marine influence. Coarsening and fining upward sequences are common features. The varied lithology produces an irregular but distinctive gamma ray and sonic response. ",Bajocian. 
0,Nise Formation,nise formation,shetland group,Nise Formation,Dominant grey and greyish-green claystones interbedded with carbonate and sandstone stringers. ,Santonian to Campanian. 
0,Nordland Group,nordland group,,Nordland Group,"In the North Sea the Nordland Group is dominated by marine claystones. These are grey, sometimes greenish-grey and grey-brown, soft, locally silty and micaceous. The sandy Utsira Formation occurs in the lower part of the group in the Viking Graben area. The uppermost part of the group consists of unconsolidated clays and sands with glacial deposits uppermost.^In the Norwegian Sea alternating the group consists of claystone, siltstone and sandstone.^In the Barents Sea sand and clays grade into sandstones and claystones, the sand content increasing upwards. Cobbles and boulders of quartzite, granite and different metamorphic rocks occur with clay in the upper parts of the group. The clay is grey to greyish greeen, soft to firm, blocky, non-calcareous, and in parts silty.^The base of the group coincides with the Oligocene unconformity1). In the reference well this is defined by a decrease in interval transit time and gamma ray readings, and a lithologic change from claystones in the underlying Sotbakken Group to the basal sand/sandstones of this group. In wells where claystones are found above the base, the boundary is not easily identified by wireline logs. In such cases, minor lithological variations have to be relied upon; the claystones of the Nordland Group are generally softer and darker than those of the Sotbakken Group.^The group is often drilled with returns to seabed only (seabed - 30"" casing). As a consequence, especially where there is no marked lithological variation, it is often difficult to pick the base of the group, particularly when it is thin and poorly developed. This is the case for most wells located north of 71°15'N and east of 20°20'E. ","Middle Miocene to Recent (North Sea)3).^Early Miocene to Recent (Norwegian Sea)4).^Late Pliocene to Pleistocene/Holocene in the Hammerfest Basin, extending back to the mid-Oligocene along western shelf margins5). "
0,Nordmela Formation,nordmela formation,realgrunnen subgroup,Nordmela Formation,"The formation consists of interbedded siltstones, sandstones, shales and claystones with minor coals. Sandstones become more common towards the top. ","The formation extends from the Sinemurian to the late Pliensbachian in the reference area. Its top may be diachronous, younging eastwards into the Toarcian in the type section. "
0,Not Formation,not formation,fangst group,Not Formation,Claystones with micronodular pyrite coarsen upwards into bioturbated fine-grained sandstones which are locally mica-rich and carbonate cemented. ,Aalenian to Bajocian. 
0,Nygrunnen Group,nygrunnen group,,Nygrunnen Group,"Greenish grey to grey claystones with thin limestone intervals in the Tromsø Basin and western parts of the Hammerfest Basin pass eastwards and southeastwards into more calcareous ( 7121/5-1) or sandy ( 7120/12-1) condensed sequences. The claystones are here assigned to the Kveite Formation, the condensed sequences to the Kviting Formation. Central wells on Tromsøflaket, e.g. in the 7120/9 area, show a transitional development with a lower Kviting limestone passing up into a Kveite shale. Further exploration may show the need for differentiation between sandy and calcareous units, but there is insufficient data at present. ",The group appears to represent remnants of a depositional sequence with an age span from late Cenomanian to Maastrichtian. The Tromsø Basin was a depositional centre throughout most of this period. Areas further east were either only transgressed at times of maximum sea level and/or display only condensed sections of the original sequence. The Campanian seems to be the most widespread age represented in wells. 
0,Oseberg Formation,oseberg formation,brent group,Oseberg Formation,"The name Oseberg Formation should be used for the relatively homogeneous, predominantly coarse-grained sandstone unit, 20-60 m thick, that is well documented from the base of the Brent Group in the Oseberg Field and neighbouring fields. The sandstone unit now defined as the Oseberg Formation has long been considered anomalous in the sense that it does not fit well into the “normal” Brent Group succession as is seen, for example, in well 34/10-8. The basal unit`s (now Oseberg Formation) anomalous coarseness an homogeneity, its common, sharply defined base and “blocky” log pattern, and the indications of a Late Toarcian/Aalenian age for its lowermost parts in some wells have always been awkward aspects of Brent Group lithostratigraphy where the sand unit was interpreted as Etive Formation or as a combined Rannoch/ Etive Formation.^The Oseberg Formation has a typical “blocky” log motif (gamma-ray and neutron/density logs), reflecting the homogeneous nature of the sand units compared to the underlying and intercalating mudstones. Occasional upwards-coarsening motifs occur in structurally high locations.^Five types of lithofacies sequences are identified within the formation: ",Late Toarcian – Early Bajocian. 
0,Polarrev Formation,polarrev formation,bjarmeland group,Polarrev Formation,"The formation consists of a variety of facies that characterise carbonate buildups. The bulk of the formation consists of bryozoan- and bryozoan/Tubiphytes-dominated wackestones and cementstones with abundant early marine cement (Fig 9.44). Wackestones dominate the bioherm encountered in the type well, where a sparse assemblage of fenestrate bryozoans, brachiopods and crinoids formed a loose framework that trapped the carbonate mud. The wackestones also display Stromatactis-like cavities, which form a complex interconnected pore system. The cavities are often partly supported by fenestrate bryozoans and brachiopods, and are often filled by geopetal internal sediments with a grainstone or packstone fabric. The geopetal fabrics indicate that deposition occurred on primary slopes of up to 45o (Blendinger et al. 1997). The limestone is massive to thickly bedded, white to light grey, locally pinkish grey and light brownish grey in colour. In the lower part of the formation more thin bedded and silty limestones are locally present. The formation has a characteristic (very) low gamma ray response throughout, except for the thin units of silty limestones in the lower part (Fig 9.39). ","Fusulinids suggest a mid-Sakmarian age for the basal part of the formation in wells 7229/11-1 and 7121/1-1 R and a late Sakmarian age near the top of the formation in the same wells (Davydov 1998, Davydov 2000). Comparisons with overlying units suggest that the formational top is of ?earliest Artinskian age. "
0,Ran sandstone units,ran sandstone units,cromer knoll group,Ran sandstone units,"The colour of the sandstones ranges from white to light grey, green and brown to reddish-brown. The sandstones are generally argillaceous, sometimes calcareous and glauconitic, and usually do not represent potential reservoir rocks in these wells. ",Ryazanian-Albian. 
0,Rannoch Formation,rannoch formation,brent group,Rannoch Formation,"In the type well the formation is a light brown, fine grained, well sorted, friable, very micaceous sandstone. In the Brent Field area the lower part is more argillaceous with siltstones and thin shales.^Towards the top the formation tends to be coarser grained and less micaceous, often resulting in a distinctive gamma ray pattern suggesting a ""coarsening upward"" sequence. Some workers consider that the Rannoch Formation is occasionally represented on the Horda Platform by one or more such coarsening upward cycles. However, in the majority of cases these cannot be observed and the presence of the Rannoch Formation must be considered debatable. ",Late Toarcian to Bajocian. 
0,Rattray Formation,rattray formation,fladen group,Rattray Formation,"In the type section and adjacent wells (BP 21/9-1 and Shell/Esso 22/6-1), the formation consists of a thick series of basaltic lava flows (1 to 9 m thick where cored), with interbedded agglomerates, tuffs and tuffaceous sediments. The lavas are grey or purplish, vesicular and often partially altered, and locally completely laterised. Large fresh pyroxene phenocrysts and smaller altered olivine phenocrysts are set in a groundmass of pyroxene and feldspar. Autobrecciation, late hydrothermal activity and deep weathering and oxidation are fairly common. The epiclastics, ranging from agglomerate to tuffs, comprise lava and phenocryst clasts, or primary pumice and ? lapilli fragments. Only minor pyroclastics have been recognised. Interbedded sediments are present towards the base of the type section, consisting of dominantly red to brown mudstone, which is soft to firm and locally calcareous. Minor amounts of red-brown or grey-green siltstone and fine grained, friable, brown sandstone are present. Lateral lithological and petrographical variations have been described by Howitt and others (1975). ","Present evidence indicates a Middle Jurassic age (Bajocian–Bathonian). In the southern part of the volcanic province the interbedded red-beds are barren, but sparsely fossiliferous grey beds in the north near the base and top of the formation yield Bajocian–Bathonian dates, based on floral dating and rare ostracods. Radiometric dating of whole-rock samples which are sheared, altered and often with secondary mineralization has provided a range of minimum ages from 165+/- 4 Ma (million years) to 109+/- 2 Ma. No systematic change in age has been recognized and the volcanic are assumed to be essentially the product of one synchronous episode. "
0,Raude Formation,raude formation,statfjord group,Raude Formation,"In the type well the basal part of the formation consists of a coarsening upward sequence of grey, green, and red-brown silty claystones, grey arkosic sandstones and white, pink and grey-brown dolomitic limestones. This basal part of the section is often difficult to recognise away from the type well and is locally absent. Above 2905 m in the type well the formation consists of approximately equal amounts of sandstone and silty shale. These sandstones are fine to medium grained and poor to moderately sorted with subangular grains. They are generally micaceous and have a kaolinitic matrix. The silty shales are grey and light green or occasionally red-brown in colour, and micromicaceous. Carbonaceous debris, sometimes in thin laminae, is present but distinct lignite beds are absent. Away from the type well the sandstone percentage in the upper part of the formation may vary from about 15 to about 75. In the area of the Brent and Statfjord fields the average sandstone bed thickness is about 2.5 m and shale beds average about 4 m in thickness. Correlation of individual beds from well to well is virtually impossible.^In well 33/12-5 the Raude Formation consists of alternating, 5 to 10 m-thick, red claystones and sandstones, except for the lowermost 25 m of claystone, while in well 30/6-5 a similar pattern as in the type well is observed. ",Rhaetian. The top of the formation may approximate to the Rhaetian – Lower Jurassic boundary in the type well but is probably older to the west (Fig 1.18). 
0,Reke Member,reke member,fruholmen formation,Reke Member,Sandstone. ,Norian - ?Rhaetian (based on palynology). 
0,Rogaland Group,rogaland group,,Rogaland Group,"Dominant lithologies in the west are sandstones interbedded with shales. These sandstones form lobes which passes laterally into shales eastwards, and in most of the Norwegian sector the Rogaland Group consists of argillaceous marine sediments. The basal deposits frequently contain reworked limestones and marls. Towards the top of the group the shales become increasingly tuffaceous.^On Haltenbanken the group consists of claystone with minor local siltstone. Tuff is common in the upper part. ",Paleocene - Early Eocene (North Sea).^Danian to Late Paleocene (Norwegian Sea). 
0,Rogn Formation,rogn formation,viking group,Rogn Formation,The formation shows a coarsening upward sequence from siltstones and shales to sandstones which constitute the bulk of the unit. ,Oxfordian to Kimmeridgian. 
0,Ror Formation,ror formation,båt group,Ror Formation,"Dominant grey to dark grey mudstones contain interbedded silty and sandy coarsening upwards sequences, commonly a few metres thick. Such sequences become more frequent towards the top of the formation, giving the unit an overall coarsening upwards trend over most of Haltenbanken. ",Pliensbachian to Toarcian. 
0,Rotliegend Group,rotliegend group,,Rotliegend Group,"The Rotliegend Group consists of a sequence of clays, shales, sandstones and minor conglomerates deposited in a continental environment. Volcanic rocks including tuffaceous sediments are common in the lower part. The sediments are frequently red, and diagnostic floras are rare resulting in poor chronostratigraphic control. In well 7/3-1 the rocks are described as a continental red-bed sequence of reddish brown, very fine grained sandstone, argillaceous in part, with variable amounts of siliceous and carbonate cements. Dark, red micaceous non-calcareous shales are interbedded with the sandstone and become more common towards the base where the whole section becomes finer grained. In well 17/4-1 rocks of probable Rotliegend age include conglomerate with pebbles of quartzite, gneiss, acid volcanic rocks and mica schist in a well-cemented argillaceous and sandy matrix. ",Early Permian. 
0,Rødby Formation,rødby formation,cromer knoll group,Rødby Formation,"Mainly red-brown marlstones, but green and grey colours may occur. Glauconite and pyrite may be present. Sandstones and siltstones are known to be present locally. ",The formation is of Albian age (locally Early Cenomanian in the Danish sector (Jensen et al. 1986)). 
0,Røye Formation,røye formation,tempelfjorden group,Røye Formation,"Silicified sediments dominate the Røye Formation as the result of early silicification processes that were sourced by abundant silica sponge spicules. On the eastern Finnmark Platform, the lower part of the Røye Formation consists of dark grey to black, silicified calcareous claystone with minor pyrite and traces of organic material (e.g. 1745.4 to 1728 m in well 7128/6-1; (Fig 9.54). The lithology of the lower part of the formation changes somewhat toward the Loppa High where it is characterised by interbedded silicified marls, silty carbonate mudstone and calcareous claystone with some thin beds of spiculitic cherts (e.g. 3177 to 2860 m in well 7120/1-1 R2). The relative proportion of these facies varies laterally and spiculitic chert dominates well 7228/9-1 S (4064-4014 m) whereas the basal part of the formation in well 7121/1-1 R (3502-3367 m) is dominated by silicified silty carbonate mudstone. The upper part of the formation consists of interbedded spiculite, spiculitic chert, silicified bioclastic, bryozoan-dominated limestone (wackestone to grainstone), silicified carbonate mudstone, silicified marl and calcareous claystone (e.g. 3367 to 2993 m in 7121/1-1 R, 3800 to 3671 m in 7124/3-1 and 1688 to 1569 m in 7128/4-1). The silicified limestone is best developed on the Loppa High (reference wells 7120/1-1 R2 and 7121/1-1 R) and on the eastern Finnmark Platform (7128/4-1, 7128/12-U-01 and 7129/10-U-01, (Fig 9.59). The spiculitic deposits show variable clay and dolomitic lime mud content. These rocks are mainly tight, with no apparent porosity; however, on inner parts of the Finnmark Platform white to light grey porous spiculites are present in wells 7128/4-1, 7128/6-1 and 7128/12-U-01 (Fig 9.60 , 9.61a, 9.61b) – the porosities apparently reflecting secondary solution processes. ",Cores from 7128/12-U-01 and 7129/10-U-01 suggest a ?Kungurian to Kazanian – (?Tatarian) age (Mangerud 1994; Bugge et al. 1995). 
0,Sandnes Formation,sandnes formation,vestland group,Sandnes Formation,"In the type well the Sandnes Formation consists of a massive white, very fine to coarse grained glauconitic sandstone. It is firm to friable, poorly sorted and slightly silty. In other wells (e.g. 18/11-1) the formation comprises inter-bedded sandstones and shales. The shales are generally dark grey to brown, micaceous and occasionally carbonaceous. ",Callovian. 
0,Sassendalen Group,sassendalen group,,Sassendalen Group,The Sassendalen Group comprises clastic sediments of Early and Middle Triassic age in Svalbard and on the Barents Sea Shelf. Dominant lithologies are shales and siltstones with subordinate sandstones and minor amounts of carbonate rocks. ,Early and Middle Triassic. 
0,Sauda Formation,sauda formation,boknfjord group,Sauda Formation,"The lower part is mainly a dark grey claystone with some siltstone and pyrite. The upper part is more silty, commonly developed as a siltstone. Shell fragments and pyrite are common. ",Middle to Late Volgian. 
0,Sele Formation,sele formation,rogaland group,Sele Formation,"The Sele Formation consists of tuffaceous montmorillonite-rich shales and siltstones which are medium to dark grey or greenish-grey. They are finely laminated and carbonaceous, with minor interbeds of laminated sandstone which is frequently glauconitic. ",Late Paleocene. 
0,Shetland Group,shetland group,,Shetland Group,"The group consists of the chalk facies of chalky limestones, limestones, marls, and calcareous shales and mudstones. Chert (flint) occurs throughout the facies. The siliciclastic facies consists of mudstones and shales, partly interbedded with limestones. Minor amounts of sandstones are present in the lower part in the Agat Discovery area (block 35/3). The shales and sandstones are slightly to very calcareous. In the Maastrichtian sequence the quantity of limestones are generally higher on the Horda Platform than in the Viking Graben.^On Haltenbanken the group consists of claystones interbedded with minor amounts of carbonates and sandstones. ",In the North Sea the group ranges in age from Cenomanian to Danian. The siliciclastic facies is restricted in age to the Late Cretaceous.^In the Norwegian Sea ages range from Turonian to Maastrichtian. 
0,Skade Formation1),skade formation1),,Skade Formation1),"The formation consists of marine sandstones with thin claystone interbeds. The sandstones are clear to light grey, usually fine to medium, occasionally coarse grained, with subrounded to rounded grains which are moderately to well sorted. Traces of fossils, shell fragments, mica and abundant glauconite occur. In some wells the sandstones are interbedded with silty claystones as illustrated by reference well 15/9-13 (Fig 5.67). The formation often interfingers with the unnamed claystones of the Hordaland Group. ",Late Oligocene. 
0,Skagerrak Formation,skagerrak formation,hegre group,Skagerrak Formation,"The formation consists of interbedded conglomerates, sandstones, siltstones and shales. Various shades of reds and browns are the dominant colours but light to dark grey beds are also present. Sandstones may be orthoquartzitic arkosic or highly lithic. Anhydrite, dolomite and limestone are subordinate lithologies. ",Middle to Late Triassic. It may possibly extend down to the Early Triassic in the areas of maximum development. 
0,Sleipner Formation,sleipner formation,vestland group,Sleipner Formation,"The formation consists of a mixed sandstone and silty claystone lithology with coal measures. The sandstones are non-calcareous, light to medium brown, fine to medium grained, with occasional coarse and pebbly layers. The sandstones show a moderate to poor sorting with sub-angular to sub-rounded grains. The silty claystones are medium to dark grey or greyish brown, micromicaceous, hard and slightly fissile. Coal fragments, fossil leaves and root hairs are commonly found. The coals are mature, black and massive, often with thin laminations of silty claystone. ","Usually Bajocian to Bathonian, but can locally be as young as Callovian (e.g. 15/12-1). "
0,Smith Bank Formation,smith bank formation,hegre group,Smith Bank Formation,"The formation consists of a monotonous sequence of brick red, somewhat silty, claystones with a few thin sandstone streaks and some anhydrite bands, especially in the lower part. Minor components, particularly in the Norwegian sector, are conglomerate, dark shale, marl, limestone and dolomite. In some localities sandy units may be present at the base. Over most of the eastern sector of the North Sea these sandy units are local and unconnected but south-eastward they become more continuous. ",Early to possibly Late Triassic. 
0,Snadd Formation,snadd formation,storfjorden subgroup,Snadd Formation,"Basal grey shales coarsen up into shales with interbeds of grey siltstones and sandstones. Limestones and calcareous interbeds are relatively common in the lower and middle parts of the unit, while thin coaly lenses are developed locally further up. Distinctive dusky red-brown shales occur near the top of the unit. Lateral and vertical lithological variations may provide the basis for 2 to 4 member subdivisions or for the establishment of several formations. ",A Ladinian to early Norian age is suggested. Correlations around the Ladinian/Carnian transition suggest earlier deposition of coarse elastics in central than in southern parts of the Hammerfest Basin. 
0,Sognefjord Formation,sognefjord formation,viking group,Sognefjord Formation,"The formation consists of sandstones and sands, grey-brown in colour, medium to coarse grained, well sorted and friable to unconsolidated. Locally the formation is weakly micaceous with minor argillaceous and carbonaceous beds. Bioclastic material and occasional cemented bands occur locally. ",Oxfordian to Kimmeridgian/Volgian. 
0,Sola Formation,sola formation,cromer knoll group,Sola Formation,"The Sola Formation consists of shales interbedded with stringers of marlstone and limestone. The carbonate content is lower than that in the underlying Tuxen and Åsgard formations and the overlying Rødby Formation. The colour is black or dark grey, but olive-grey, brown and red colours occur. The shales are finely laminated and often very pyritic. ",The Sola Formation is of Mid Aptian-Early Albian age. A possible Middle (Late) Barremian-Albian age is recorded from Danish wells (Heilmann-Clausen 1986). 
0,Soldogg Formation,soldogg formation,billefjorden group,Soldogg Formation,"Sandstones and conglomeratic sandstones with thin beds and laminae of carbonaceous siltstones, shales and coal dominate the formation. The cored interval in well 7128/4-1 (core 4) consists of cross-bedded and laminated sandstones and siltstones with three coal beds, each less than 1 m thick (Fig 9.8 ,9.13). Coal beds occur most abundantly in the upper part of the formation in this well, but are not as abundant as in the overlying Tettegras Formation. Petrographic examination of sidewall cores and cuttings from well 7128/6-1 shows a dominance of medium- to coarse-grained quartzose sandstones similar to those observed in well 7128/4-1. Shallow core 7029/03-U-01 is dominated by fining-upward units of conglomerates and laminated and trough cross-bedded sandstones (Fig 9.14 , 9.15). Siltstones are rare in this core. ","Based on palynological data, the basal Soldogg Formation is no older than the middle Viséan TC Miospore Zone in well 7128/4-1 (Geochem Group 1994). The rest of the formation in this well is assigned to the NM Miospore Zone in terms of the NW European Miospore zonation of Clayton et al. (1977). Simon-Robertson (1992) assigned the interval assigned herein to the Soldogg Formation in well 7128/6-1 to the upper part of the TC and the NM Miospore zones and a similar age range is given for the formation in 7029/03-U-01 (Bugge et al. 1995). "
0,Sotbakken Group,sotbakken group,,Sotbakken Group,"The group is dominated by claystones, with only minor siltstone, tuffaceous and carbonate horizons. ",Preserved sequences show a late Paleocene (Thanetian) to early/middle Eocene (Ypresian/ Lutetian) age in central and eastern parts of the Hammerfest Basin. Oligocene sequences may also be present in western wells. 
0,Spekk Formation,spekk formation,viking group,Spekk Formation,The formation consists of dark brown to dark grey shale. The shale is predominantly non-calcareous. Parts of the unit may be silty. The organic content (mainly of type II kerogen) is very high. ,Oxfordian to Ryazanian. 
0,Springar Formation,springar formation,shetland group,Springar Formation,Predominantly greyish-green claystones interbedded with stringers of carbonates and sandstones. ,Campanian to Maastrichtian. 
